0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
SLPUSDT,SLP/USDT,1619395200000,1619740800000,2021-04-30 12:00:00
PORTOUSDT,PORTO/USDT,1636934400000,1637020800000,2021-11-16 12:00:00
TOMOUSDT,TOMO/USDT,1566172800000,1566604800000,2019-08-24 13:00:00
ZECUSDT,ZEC/USDT,1552867200000,1553126400000,2019-03-21 04:00:00
MULTIUSDT,MULTI/USDT,1649030400000,1649203200000,2022-04-06 04:00:00
FLUXUSDT,FLUX/USDT,1638748800000,1639094400000,2021-12-10 06:00:00
PYRUSDT,PYR/USDT,1637539200000,1637884800000,2021-11-26 08:00:00
GALUSDT,GAL/USDT,1651449600000,1651708800000,2022-05-05 12:00:00
SRMUSDT,SRM/USDT,1597017600000,1597104000000,2020-08-11 13:30:00
FIROUSDT,FIRO/USDT,1611532800000,1611878400000,2021-01-29 02:00:00
LTCBUSD,LTC/BUSD,1571616000000,1571616000000,2019-10-21 08:00:00
ARBUSD,AR/BUSD,1620604800000,1620950400000,2021-05-14 12:00:00
SNMBUSD,SNM/BUSD,1661126400000,1661472000000,2022-08-26 08:00:00
OPBUSD,OP/BUSD,1653868800000,1654041600000,2022-06-01 08:00:00
TRIBEBUSD,TRIBE/BUSD,1629676800000,1629763200000,2021-08-24 06:00:00
TVKBUSD,TVK/BUSD,1613952000000,1614297600000,2021-02-26 09:00:00
NULSBUSD,NULS/BUSD,1639958400000,1640304000000,2021-12-24 09:00:00
SCBUSD,SC/BUSD,1623628800000,1623974400000,2021-06-18 10:00:00
DASHBUSD,DASH/BUSD,1581292800000,1581379200000,2020-02-11 08:00:00
DOTBUSD,DOT/BUSD,1597622400000,1597708800000,2020-08-18 23:00:00
JSTBUSD,JST/BUSD,1597017600000,1597104000000,2020-08-11 06:00:00
ETCBUSD,ETC/BUSD,1571616000000,1571616000000,2019-10-21 08:00:00
FIDABUSD,FIDA/BUSD,1632700800000,1632960000000,2021-09-30 12:00:00
GALABUSD,GALA/BUSD,1631491200000,1631491200000,2021-09-13 06:00:00
ICPBUSD,ICP/BUSD,1620604800000,1620691200000,2021-05-11 01:00:00
IDEXBUSD,IDEX/BUSD,1597622400000,1598054400000,2020-08-22 07:00:00
IQBUSD,IQ/BUSD,1592179200000,1592438400000,2020-06-18 10:00:00
KP3RBUSD,KP3R/BUSD,1604275200000,1604361600000,2020-11-03 12:00:00
LPTBUSD,LPT/BUSD,1621814400000,1622160000000,2021-05-28 05:00:00
MANABUSD,MANA/BUSD,1595808000000,1596067200000,2020-07-30 05:00:00
MBOXBUSD,MBOX/BUSD,1629072000000,1629331200000,2021-08-19 08:00:00
LUNABUSD,LUNA/BUSD,1597622400000,1597795200000,2020-08-19 10:00:00
USTBUSD,UST/BUSD,1639958400000,1640304000000,2021-12-24 08:00:00
QTUMBUSD,QTUM/BUSD,1575244800000,1575590400000,2019-12-06 08:00:00
RADBUSD,RAD/BUSD,1633305600000,1633564800000,2021-10-07 07:00:00
RVNBUSD,RVN/BUSD,1581292800000,1581638400000,2020-02-14 08:00:00
SHIBBUSD,SHIB/BUSD,1620604800000,1620604800000,2021-05-10 11:00:00
SOLBUSD,SOL/BUSD,1586131200000,1586476800000,2020-04-10 04:00:00
SYSBUSD,SYS/BUSD,1606089600000,1606176000000,2020-11-24 13:00:00
TBUSD,T/BUSD,1645401600000,1645747200000,2022-02-25 04:00:00
TORNBUSD,TORN/BUSD,1623024000000,1623369600000,2021-06-11 06:00:00
YGGBUSD,YGG/BUSD,1632096000000,1632441600000,2021-09-24 06:00:00
ADABUSD,ADA/BUSD,1574035200000,1574294400000,2019-11-21 04:00:00
ALICEBUSD,ALICE/BUSD,1615766400000,1615766400000,2021-03-15 06:00:00
ALGOBUSD,ALGO/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
API3BUSD,API3/BUSD,1642377600000,1642723200000,2022-01-21 10:30:00
MLNBUSD,MLN/BUSD,1625443200000,1625443200000,2021-07-05 06:00:00
PSGBUSD,PSG/BUSD,1608508800000,1608508800000,2020-12-21 06:00:00
ORNBUSD,ORN/BUSD,1628467200000,1628812800000,2021-08-13 12:00:00
ROSEBUSD,ROSE/BUSD,1605484800000,1605744000000,2020-11-19 08:00:00
GMTBUSD,GMT/BUSD,1646611200000,1646784000000,2022-03-09 12:00:00
DFBUSD,DF/BUSD,1607299200000,1607644800000,2020-12-11 10:00:00
ATABUSD,ATA/BUSD,1623024000000,1623024000000,2021-06-07 06:00:00
ICXBUSD,ICX/BUSD,1580688000000,1580947200000,2020-02-06 10:00:00
JASMYBUSD,JASMY/BUSD,1637539200000,1637539200000,2021-11-22 12:00:00
OMGBUSD,OMG/BUSD,1613952000000,1614038400000,2021-02-23 12:00:00
LSKBUSD,LSK/BUSD,1632700800000,1632960000000,2021-09-30 10:00:00
HIVEBUSD,HIVE/BUSD,1633305600000,1633651200000,2021-10-08 10:00:00
BTGBUSD,BTG/BUSD,1618185600000,1618531200000,2021-04-16 07:00:00
