,Model-FileName,TAKE_PROFIT,STOP_LOSS,MAX_HOLDING_TIME,FinalValue,Profit,ROI,Nbr_wins,best_win,worst_loss
27,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.7,2,60,500.27318363761503,-49.726816362384966,-9.041239338615448,0,581.1328926415673,514.0002229539211
28,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,3.0,2,60,548.2124445563234,-1.787555443676638,-0.3250100806684796,0,595.292956113986,548.1148392995952
29,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,3.3,2,60,523.403412008548,-26.596587991452,-4.83574327117309,0,592.9453892633716,531.5987799515977
30,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.9,2,40,513.260755063402,-36.73924493659797,-6.679862715745085,0,613.1600032734058,541.6591739744914
31,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,4.0,2,40,567.3053496828827,17.305349682882706,3.146427215069583,0,629.2182648331404,572.6189624975675
32,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,5.0,2,40,532.6211901737636,-17.37880982623642,-3.1597836047702583,0,615.8920410658236,543.7980683875986
33,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,0.9,2,40,378.3354104442928,-171.6645895557072,-31.211743555583126,0,530.3266443978879,398.20499456171854
34,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.3,2,40,437.5247416179373,-112.47525838206268,-20.45004697855685,0,553.9388521022978,461.252285425054
35,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.7,2,40,425.6917662615549,-124.3082337384451,-22.601497043353653,0,571.0361663665394,455.8747432223616
36,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.3,2,40,473.6972067234436,-76.30279327655637,-13.873235141192067,0,597.2914671657658,491.347908980769
