,0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
102,TROYUSDT,TROY/USDT,1575244800000,1575504000000,2019-12-05 02:00:00
103,QTUMBUSD,QTUM/BUSD,1575244800000,1575590400000,2019-12-06 08:00:00
104,VETBUSD,VET/BUSD,1575244800000,1575590400000,2019-12-06 08:00:00
105,VITEUSDT,VITE/USDT,1575849600000,1576195200000,2019-12-13 14:00:00
106,FTTUSDT,FTT/USDT,1576454400000,1576800000000,2019-12-20 03:00:00
107,EURBUSD,EUR/BUSD,1577664000000,1578009600000,2020-01-03 08:00:00
108,EURUSDT,EUR/USDT,1577664000000,1578009600000,2020-01-03 08:00:00
109,OGNUSDT,OGN/USDT,1578268800000,1578528000000,2020-01-09 03:00:00
110,DREPUSDT,DREP/USDT,1578873600000,1579132800000,2020-01-16 14:00:00
111,BULLUSDT,BULL/USDT,1578873600000,1579219200000,2020-01-17 12:00:00
112,BULLBUSD,BULL/BUSD,1578873600000,1579219200000,2020-01-17 12:00:00
113,BEARUSDT,BEAR/USDT,1578873600000,1579219200000,2020-01-17 12:00:00
114,BEARBUSD,BEAR/BUSD,1578873600000,1579219200000,2020-01-17 12:00:00
115,ETHBULLUSDT,ETHBULL/USDT,1578873600000,1579219200000,2020-01-17 12:00:00
116,ETHBULLBUSD,ETHBULL/BUSD,1578873600000,1579219200000,2020-01-17 12:00:00
117,ETHBEARUSDT,ETHBEAR/USDT,1578873600000,1579219200000,2020-01-17 12:00:00
118,ETHBEARBUSD,ETHBEAR/BUSD,1578873600000,1579219200000,2020-01-17 12:00:00
119,TCTUSDT,TCT/USDT,1579478400000,1579564800000,2020-01-21 14:00:00
120,WRXUSDT,WRX/USDT,1580688000000,1580860800000,2020-02-05 02:00:00
121,ICXBUSD,ICX/BUSD,1580688000000,1580947200000,2020-02-06 10:00:00
122,BTSUSDT,BTS/USDT,1580688000000,1580947200000,2020-02-06 10:00:00
123,BTSBUSD,BTS/BUSD,1580688000000,1580947200000,2020-02-06 10:00:00
124,LSKUSDT,LSK/USDT,1580688000000,1580947200000,2020-02-06 10:00:00
125,BNTUSDT,BNT/USDT,1580688000000,1580947200000,2020-02-06 10:00:00
126,BNTBUSD,BNT/BUSD,1580688000000,1580947200000,2020-02-06 10:00:00
127,LTOUSDT,LTO/USDT,1580688000000,1581033600000,2020-02-07 14:00:00
128,ATOMBUSD,ATOM/BUSD,1581292800000,1581379200000,2020-02-11 08:00:00
129,DASHBUSD,DASH/BUSD,1581292800000,1581379200000,2020-02-11 08:00:00
130,NEOBUSD,NEO/BUSD,1581292800000,1581379200000,2020-02-11 08:00:00
131,WAVESBUSD,WAVES/BUSD,1581292800000,1581379200000,2020-02-11 08:00:00
132,XTZBUSD,XTZ/BUSD,1581292800000,1581379200000,2020-02-11 08:00:00
133,EOSBULLUSDT,EOSBULL/USDT,1581292800000,1581465600000,2020-02-12 08:00:00
134,EOSBULLBUSD,EOSBULL/BUSD,1581292800000,1581465600000,2020-02-12 08:00:00
135,EOSBEARUSDT,EOSBEAR/USDT,1581292800000,1581465600000,2020-02-12 08:00:00
136,EOSBEARBUSD,EOSBEAR/BUSD,1581292800000,1581465600000,2020-02-12 08:00:00
137,XRPBULLUSDT,XRPBULL/USDT,1581292800000,1581465600000,2020-02-12 08:00:00
138,XRPBULLBUSD,XRPBULL/BUSD,1581292800000,1581465600000,2020-02-12 08:00:00
139,XRPBEARUSDT,XRPBEAR/USDT,1581292800000,1581465600000,2020-02-12 08:00:00
140,XRPBEARBUSD,XRPBEAR/BUSD,1581292800000,1581465600000,2020-02-12 08:11:00
141,BATBUSD,BAT/BUSD,1581292800000,1581638400000,2020-02-14 08:00:00
142,ENJBUSD,ENJ/BUSD,1581292800000,1581638400000,2020-02-14 08:00:00
143,NANOBUSD,NANO/BUSD,1581292800000,1581638400000,2020-02-14 08:00:00
144,ONTBUSD,ONT/BUSD,1581292800000,1581638400000,2020-02-14 08:00:00
145,RVNBUSD,RVN/BUSD,1581292800000,1581638400000,2020-02-14 08:00:00
146,STRATBUSD,STRAT/BUSD,1581897600000,1582070400000,2020-02-19 09:00:00
147,STRATUSDT,STRAT/USDT,1581897600000,1582070400000,2020-02-19 09:00:00
148,AIONBUSD,AION/BUSD,1581897600000,1582070400000,2020-02-19 09:00:00
149,AIONUSDT,AION/USDT,1581897600000,1582070400000,2020-02-19 09:00:00
150,MBLUSDT,MBL/USDT,1581897600000,1582243200000,2020-02-21 14:00:00
151,COTIUSDT,COTI/USDT,1582502400000,1582675200000,2020-02-26 14:00:00
152,ALGOBUSD,ALGO/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
153,BTTBUSD,BTT/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
154,TOMOBUSD,TOMO/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
155,XMRBUSD,XMR/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
156,ZECBUSD,ZEC/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
157,BNBBULLUSDT,BNBBULL/USDT,1583712000000,1583884800000,2020-03-11 07:00:00
158,BNBBULLBUSD,BNBBULL/BUSD,1583712000000,1583884800000,2020-03-11 07:00:00
159,BNBBEARUSDT,BNBBEAR/USDT,1583712000000,1583884800000,2020-03-11 07:00:00
160,BNBBEARBUSD,BNBBEAR/BUSD,1583712000000,1583884800000,2020-03-11 07:00:00
161,STPTUSDT,STPT/USDT,1584921600000,1585094400000,2020-03-25 14:00:00
162,WTCUSDT,WTC/USDT,1586131200000,1586217600000,2020-04-07 13:00:00
163,DATABUSD,DATA/BUSD,1586131200000,1586217600000,2020-04-07 13:00:00
164,DATAUSDT,DATA/USDT,1586131200000,1586217600000,2020-04-07 13:00:00
165,XZCUSDT,XZC/USDT,1586131200000,1586217600000,2020-04-07 13:00:00
166,SOLUSDT,SOL/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
167,SOLBUSD,SOL/BUSD,1586131200000,1586476800000,2020-04-10 04:00:00
168,CTSIUSDT,CTSI/USDT,1587340800000,1587600000000,2020-04-23 02:00:00
169,CTSIBUSD,CTSI/BUSD,1587340800000,1587600000000,2020-04-23 02:00:00
170,HIVEUSDT,HIVE/USDT,1587945600000,1587945600000,2020-04-27 05:00:00
171,CHRUSDT,CHR/USDT,1588550400000,1588809600000,2020-05-07 14:00:00
172,BTCUPUSDT,BTCUP/USDT,1589155200000,1589414400000,2020-05-14 10:01:00
173,BTCDOWNUSDT,BTCDOWN/USDT,1589155200000,1589414400000,2020-05-14 10:18:00
174,GXSUSDT,GXS/USDT,1589155200000,1589328000000,2020-05-13 14:00:00
175,ARDRUSDT,ARDR/USDT,1589155200000,1589500800000,2020-05-15 08:00:00
176,ERDBUSD,ERD/BUSD,1589155200000,1589500800000,2020-05-15 08:00:00
177,LENDUSDT,LEND/USDT,1589155200000,1589500800000,2020-05-15 08:00:00
178,HBARBUSD,HBAR/BUSD,1589760000000,1590105600000,2020-05-22 08:00:00
179,MATICBUSD,MATIC/BUSD,1589760000000,1590105600000,2020-05-22 08:00:00
180,WRXBUSD,WRX/BUSD,1589760000000,1590105600000,2020-05-22 08:00:00
181,ZILBUSD,ZIL/BUSD,1589760000000,1590105600000,2020-05-22 08:00:00
182,MDTUSDT,MDT/USDT,1590969600000,1591315200000,2020-06-05 14:00:00
183,STMXUSDT,STMX/USDT,1591574400000,1591833600000,2020-06-11 03:00:00
184,KNCBUSD,KNC/BUSD,1591574400000,1591920000000,2020-06-12 08:00:00
185,KNCUSDT,KNC/USDT,1591574400000,1591920000000,2020-06-12 08:00:00
186,REPBUSD,REP/BUSD,1591574400000,1591920000000,2020-06-12 08:00:00
187,REPUSDT,REP/USDT,1591574400000,1591920000000,2020-06-12 08:00:00
188,LRCBUSD,LRC/BUSD,1591574400000,1591920000000,2020-06-12 08:00:00
189,LRCUSDT,LRC/USDT,1591574400000,1591920000000,2020-06-12 08:00:00
190,IQBUSD,IQ/BUSD,1592179200000,1592438400000,2020-06-18 10:00:00
191,PNTUSDT,PNT/USDT,1592784000000,1592784000000,2020-06-22 04:00:00
192,GBPBUSD,GBP/BUSD,1592179200000,1592524800000,2020-06-19 10:00:00
193,DGBBUSD,DGB/BUSD,1592784000000,1592784000000,2020-06-22 14:00:00
194,COMPBUSD,COMP/BUSD,1592784000000,1593043200000,2020-06-25 06:00:00
195,COMPUSDT,COMP/USDT,1592784000000,1593043200000,2020-06-25 06:00:00
196,BKRWUSDT,BKRW/USDT,1593993600000,1593993600000,2020-07-06 05:00:00
197,BKRWBUSD,BKRW/BUSD,1593993600000,1593993600000,2020-07-06 05:00:00
198,SCUSDT,SC/USDT,1593993600000,1593993600000,2020-07-06 05:00:00
199,ZENUSDT,ZEN/USDT,1593993600000,1593993600000,2020-07-06 05:00:00
200,SXPBUSD,SXP/BUSD,1593993600000,1594080000000,2020-07-07 14:00:00
201,SNXBUSD,SNX/BUSD,1593993600000,1594252800000,2020-07-09 12:00:00
202,SNXUSDT,SNX/USDT,1593993600000,1594252800000,2020-07-09 12:00:00
203,ETHUPUSDT,ETHUP/USDT,1594598400000,1594598400000,2020-07-13 08:00:00
204,ETHDOWNUSDT,ETHDOWN/USDT,1594598400000,1594598400000,2020-07-13 08:00:00
205,ADAUPUSDT,ADAUP/USDT,1594598400000,1594857600000,2020-07-16 08:18:00
206,ADADOWNUSDT,ADADOWN/USDT,1594598400000,1594857600000,2020-07-16 08:18:00
207,LINKUPUSDT,LINKUP/USDT,1594598400000,1594857600000,2020-07-16 08:00:00
208,LINKDOWNUSDT,LINKDOWN/USDT,1594598400000,1594857600000,2020-07-16 08:00:00
209,VTHOBUSD,VTHO/BUSD,1594598400000,1594944000000,2020-07-17 09:00:00
210,VTHOUSDT,VTHO/USDT,1594598400000,1594944000000,2020-07-17 09:00:00
211,DCRBUSD,DCR/BUSD,1595203200000,1595203200000,2020-07-20 12:00:00
212,DGBUSDT,DGB/USDT,1595203200000,1595203200000,2020-07-20 12:00:00
213,GBPUSDT,GBP/USDT,1595203200000,1595203200000,2020-07-20 12:00:00
214,STORJBUSD,STORJ/BUSD,1595203200000,1595203200000,2020-07-20 12:00:00
215,SXPUSDT,SXP/USDT,1595203200000,1595203200000,2020-07-20 12:00:00
216,IRISBUSD,IRIS/BUSD,1595203200000,1595289600000,2020-07-21 13:00:00
217,MKRUSDT,MKR/USDT,1595203200000,1595462400000,2020-07-23 14:00:00
218,MKRBUSD,MKR/BUSD,1595203200000,1595462400000,2020-07-23 14:00:00
219,DAIUSDT,DAI/USDT,1595203200000,1595462400000,2020-07-23 14:00:00
